ticker,cik,transaction_date,is_buy,shares,price_per_share,transaction_value,is_officer,is_director,is_ten_pct_owner,officer_title,ownership_type,accession_number
ABM,771497,2025-10-01,0,3567.0,46.25,164973.75,1,0,0,SVP - Chief Accounting Officer,D,0001225208-25-008428
ABNB,1559720,2025-09-29,0,209614.0,123.49,25885232.86,0,1,0,,I,0001193125-25-226743
ABNB,1559720,2025-09-29,0,586.0,122.96,72054.56,0,1,0,,I,0001193125-25-226743
ABNB,1559720,2025-09-29,0,25800.0,124.26,3205908.0,0,1,0,,I,0001193125-25-226743
ABNB,1559720,2025-10-02,0,600.0,122.47,73482.0,1,0,0,Chief Technology Officer,D,0001193125-25-231859
ABNB,1559720,2025-10-09,0,600.0,120.46,72276.0,1,0,0,Chief Technology Officer,D,0001193125-25-238997
ABNB,1559720,2025-10-13,0,185696.0,119.36,22164674.56,0,1,0,,I,0001193125-25-240276
ABNB,1559720,2025-10-13,0,50304.0,118.73,5972593.92,0,1,0,,I,0001193125-25-240276
ABNB,1559720,2025-10-16,0,600.0,124.26,74556.0,1,0,0,Chief Technology Officer,D,0001193125-25-243554
ABNB,1559720,2025-10-23,0,600.0,127.53,76518.0,1,0,0,Chief Technology Officer,D,0001193125-25-251569
ABNB,1559720,2025-10-24,0,12184.0,127.65,1555287.6,1,0,0,Chief Financial Officer,D,0001193125-25-253476
ABNB,1559720,2025-10-27,0,11689.0,126.68,1480762.52,0,1,0,,I,0001193125-25-256523
ABNB,1559720,2025-10-27,0,55133.0,129.14,7119875.619999999,0,1,0,,I,0001193125-25-256523
ABNB,1559720,2025-10-27,0,153474.0,128.46,19715270.040000003,0,1,0,,I,0001193125-25-256523
ABNB,1559720,2025-10-27,0,15704.0,127.53,2002731.12,0,1,0,,I,0001193125-25-256523
ABNB,1559720,2025-10-28,0,7500.0,130.0,975000.0,1,0,0,Chief Financial Officer,D,0001193125-25-258505
ABNB,1559720,2025-10-30,0,600.0,125.47,75282.0,1,0,0,Chief Technology Officer,D,0001193125-25-262635
ABNB,1559720,2025-11-06,0,600.0,122.38,73428.0,1,0,0,Chief Technology Officer,D,0001193125-25-274189
ABNB,1559720,2025-11-10,0,57370.0,121.34,6961275.8,0,1,0,,I,0001193125-25-280129
ABNB,1559720,2025-11-10,0,154470.0,120.4,18598188.0,0,1,0,,I,0001193125-25-280129
ABNB,1559720,2025-11-10,0,17130.0,119.92,2054229.6,0,1,0,,I,0001193125-25-280129
ABNB,1559720,2025-11-10,0,7030.0,122.37,860261.1,0,1,0,,I,0001193125-25-280129
ABNB,1559720,2025-11-13,0,600.0,121.38,72828.0,1,0,0,Chief Technology Officer,D,0001193125-25-284728
ABNB,1559720,2025-11-20,0,600.0,114.51,68706.0,1,0,0,Chief Technology Officer,D,0001193125-25-293670
ABNB,1559720,2025-11-24,0,355.0,115.05,40842.75,0,1,0,,I,0001193125-25-300494
ABNB,1559720,2025-11-24,0,61657.0,113.77,7014716.89,0,1,0,,I,0001193125-25-300494
ABNB,1559720,2025-11-24,0,169988.0,114.39,19444927.32,0,1,0,,I,0001193125-25-300494
ABNB,1559720,2025-11-28,0,3307.0,116.71,385959.97,1,1,0,Chief Strategy Officer,D,0001193125-25-305461
ABNB,1559720,2025-11-28,0,600.0,116.71,70026.0,1,0,0,Chief Technology Officer,D,0001193125-25-305445
ABNB,1559720,2025-12-01,0,800.0,115.88,92704.0,0,1,0,,I,0001193125-25-306659
ABNB,1559720,2025-12-01,0,4002.0,116.5,466233.0,0,1,0,,I,0001193125-25-306659
ABNB,1559720,2025-12-01,0,25967.0,118.62,3080205.54,0,1,0,,I,0001193125-25-306659
ABNB,1559720,2025-12-01,0,17755.0,119.26,2117461.3000000003,0,1,0,,I,0001193125-25-306659
ABNB,1559720,2025-12-01,0,9476.0,117.63,1114661.88,0,1,0,,I,0001193125-25-306659
ABNB,1559720,2025-12-01,0,549.0,116.04,63705.96000000001,1,0,0,Chief Technology Officer,D,0001193125-25-305445
ABNB,1559720,2025-12-02,0,5162.0,120.03,619594.86,1,1,0,Chief Strategy Officer,D,0001193125-25-308064
ABNB,1559720,2025-12-03,0,39806.0,120.22,4785477.32,1,1,0,Chief Strategy Officer,D,0001193125-25-309617
ABNB,1559720,2025-12-04,0,77527.0,120.52,9343554.04,1,1,0,Chief Strategy Officer,D,0001193125-25-309617
ABNB,1559720,2025-12-05,0,10797.0,123.28,1331054.16,1,1,0,Chief Strategy Officer,D,0001193125-25-313216
ABNB,1559720,2025-12-05,0,7884.0,122.66,967051.44,1,1,0,Chief Strategy Officer,D,0001193125-25-313216
ABNB,1559720,2025-12-05,0,4134.0,121.7,503107.8,1,1,0,Chief Strategy Officer,D,0001193125-25-313216
ABNB,1559720,2025-12-05,0,946.0,120.88,114352.48,1,1,0,Chief Strategy Officer,D,0001193125-25-313216
ABNB,1559720,2025-12-05,0,8910.0,124.43,1108671.3,1,1,0,Chief Strategy Officer,I,0001193125-25-313216
ABNB,1559720,2025-12-05,0,2167.0,122.53,265522.51,1,1,0,Chief Strategy Officer,I,0001193125-25-313216
ABNB,1559720,2025-12-05,0,825.0,121.54,100270.5,1,1,0,Chief Strategy Officer,I,0001193125-25-313216
ABNB,1559720,2025-12-05,0,156.0,120.7,18829.2,1,1,0,Chief Strategy Officer,I,0001193125-25-313216
ABNB,1559720,2025-12-05,0,18253.0,123.61,2256253.33,1,1,0,Chief Strategy Officer,I,0001193125-25-313216
ABNB,1559720,2025-12-05,0,650.0,120.92,78598.0,1,0,0,Chief Technology Officer,D,0001193125-25-313021
ABNB,1559720,2025-12-08,0,10010.0,123.28,1234032.8,1,1,0,Chief Strategy Officer,I,0001193125-25-314277
ABNB,1559720,2025-12-08,0,84516.0,121.63,10279681.08,1,1,0,Chief Strategy Officer,I,0001193125-25-314277
ABNB,1559720,2025-12-08,0,46537.0,122.27,5690078.99,1,1,0,Chief Strategy Officer,I,0001193125-25-314277
ABNB,1559720,2025-12-09,0,4630.0,125.0,578750.0,1,0,0,Chief Financial Officer,D,0001193125-25-315911
ABNB,1559720,2025-12-09,0,16875.0,125.19,2112581.25,1,0,0,Chief Technology Officer,D,0001193125-25-315909
ABNB,1559720,2025-12-09,0,12842.0,122.3,1570576.5999999999,1,1,0,Chief Strategy Officer,I,0001193125-25-314277
ABNB,1559720,2025-12-09,0,10884.0,123.47,1343847.48,1,1,0,Chief Strategy Officer,I,0001193125-25-314277
ABNB,1559720,2025-12-09,0,10643.0,124.42,1324202.06,1,1,0,Chief Strategy Officer,I,0001193125-25-314277
ABNB,1559720,2025-12-09,0,2001.0,121.62,243361.62,1,1,0,Chief Strategy Officer,I,0001193125-25-314277
ABNB,1559720,2025-12-12,0,650.0,128.93,83804.5,1,0,0,Chief Technology Officer,D,0001193125-25-321207
ABNB,1559720,2025-12-12,0,8770.0,130.17,1141590.9,1,1,0,CEO and Chairman,I,0001193125-25-321203
ABNB,1559720,2025-12-12,0,7500.0,130.0,975000.0,1,0,0,Chief Financial Officer,D,0001193125-25-321199
ABNB,1559720,2025-12-15,0,10075.0,129.35,1303201.25,0,1,0,,I,0001193125-25-322689
ABNB,1559720,2025-12-15,0,20597.0,130.66,2691204.02,0,1,0,,I,0001193125-25-322689
ABNB,1559720,2025-12-15,0,19329.0,131.55,2542729.95,0,1,0,,I,0001193125-25-322689
ABNB,1559720,2025-12-15,0,1674.0,132.04,221034.96,0,1,0,,I,0001193125-25-322689
ABNB,1559720,2025-12-15,0,6325.0,128.74,814280.5,0,1,0,,I,0001193125-25-322689
ABNB,1559720,2025-12-15,0,23703.0,130.63,3096322.8899999997,1,1,0,CEO and Chairman,I,0001193125-25-321203
ABNB,1559720,2025-12-15,0,2960.0,132.04,390838.39999999997,1,1,0,CEO and Chairman,I,0001193125-25-321203
ABNB,1559720,2025-12-15,0,24567.0,131.57,3232280.19,1,1,0,CEO and Chairman,I,0001193125-25-321203
ABNB,1559720,2025-12-17,0,15263.0,135.0,2060505.0,1,0,0,Chief Technology Officer,D,0001193125-25-326800
ABNB,1559720,2025-12-19,0,1915.0,135.01,258544.15,1,0,0,Chief Technology Officer,D,0001193125-25-330844
ABNB,1559720,2025-12-19,0,650.0,134.15,87197.5,1,0,0,Chief Technology Officer,D,0001193125-25-330844
ABNB,1559720,2025-12-29,0,4071.0,137.03,557849.13,0,1,0,,I,0001193125-25-338296
ABNB,1559720,2025-12-29,0,53929.0,136.68,7371015.720000001,0,1,0,,I,0001193125-25-338296
ABR-PF,1253986,2025-11-13,1,25000.0,9.1,227500.0,1,1,0,"COB, CEO and President",I,0001104659-25-113287
ABR-PF,1253986,2025-11-17,1,2508.0,8.3,20816.4,1,0,0,CCO & Head of Non-Agcy Prod,D,0001104659-25-113659
ABR-PF,1253986,2025-11-17,1,5000.0,8.28,41400.0,0,1,0,,D,0001104659-25-113654
ABR-PF,1253986,2025-11-17,1,29000.0,8.34,241860.0,1,1,0,"COB, CEO and President",I,0001104659-25-113287
ABR-PF,1253986,2025-11-28,1,12800.0,9.02,115456.0,0,1,0,,D,0001104659-25-117324
ABSI,1672688,2025-12-05,1,40000.0,3.72,148800.0,0,1,0,,D,0001672688-25-000096
ABT,1800,2025-11-25,0,1586.0,128.02,203039.72000000003,1,0,0,Senior Vice President,D,0002058129-25-000009
ABTC,1755953,2025-12-16,1,175000.0,1.66,290500.0,0,1,0,,D,0001193125-25-323509
ABTC,1755953,2025-12-22,1,101000.0,1.98,199980.0,0,1,0,,D,0001193125-25-331019
ACAD,1070494,2025-11-10,0,30000.0,22.37,671100.0,0,1,0,,D,0001560782-25-000006
ACAD,1070494,2025-11-18,0,10262.0,23.69,243106.78,1,0,0,"EVP, CHIEF FINANCIAL OFFICER",D,0001899977-25-000006
ACAD,1070494,2025-11-18,0,4084.0,23.69,96749.96,1,0,0,PRINCIPAL ACCOUNTING OFFICER,D,0001816160-25-000004
ACEL,1698991,2025-12-01,0,45000.0,10.31,463950.0,1,1,0,CEO and President,D,0001794156-25-000009
ACEL,1698991,2025-12-11,0,12500.0,11.01,137625.0,0,1,0,,I,0001794305-25-000009
ACEL,1698991,2025-12-15,0,12500.0,11.19,139875.0,0,1,0,,I,0001794305-25-000011
ACEL,1698991,2025-12-15,0,12500.0,11.2,140000.0,0,1,0,,I,0001794305-25-000011
ACEL,1698991,2025-12-15,0,10000.0,11.11,111100.0,1,0,0,Secretary,D,0001794002-25-000007
ACEL,1698991,2025-12-23,0,5000.0,11.5,57500.0,1,0,0,Chief Compliance Officer,D,0001794002-25-000009
ACEL,1698991,2025-12-24,0,5000.0,11.5,57500.0,1,0,0,Chief Compliance Officer,D,0001794002-25-000009
ACET,1720580,2025-10-08,1,1500000.0,1.0,1500000.0,0,0,0,,I,0000947871-25-000898
ACET,1720580,2025-10-08,1,3500000.0,1.0,3500000.0,0,0,0,,I,0000947871-25-000898
ACGLN,947484,2025-11-28,0,8000.0,94.62,756960.0,1,0,0,EVP AND CFO,D,0001741826-25-000005
ACGLN,947484,2025-12-12,0,28866.0,93.81,2707919.46,0,1,0,,I,0001227099-25-000007
ACGLN,947484,2025-12-12,0,175000.0,93.91,16434250.0,0,1,0,,I,0001227099-25-000007
ACGLN,947484,2025-12-15,0,8800.0,94.17,828696.0,0,1,0,,I,0001227099-25-000007
ACHR-WT,1824502,2025-11-17,0,45018.0,7.49,337184.82,1,0,0,CHIEF PEOPLE PARTNERSHIPS OFF.,D,0001797669-25-000004
ACHR-WT,1824502,2025-11-17,0,90648.0,7.49,678953.52,1,0,0,CHIEF TECHNOLOGY OFFICER,D,0001882348-25-000003
ACHR-WT,1824502,2025-11-17,0,41490.0,7.49,310760.10000000003,1,0,0,Chief Legal & Strategy Officer,D,0002016416-25-000002
ACHR-WT,1824502,2025-11-17,0,5479.0,7.49,41037.71,1,0,0,Interim CFO,D,0002036956-25-000004
ACI,1646972,2025-10-16,0,100000.0,19.35,1935000.0000000002,1,0,0,EVP & Chief HR Officer,D,0001329101-25-000004
ACI,1646972,2025-10-16,0,230000.0,19.25,4427500.0,1,0,0,Chief Tech &Transformation Off,D,0001797932-25-000003
ACI,1646972,2025-10-17,0,17815.0,19.75,351846.25,1,0,0,SVP & Chief Accounting Officer,D,0001479490-25-000003
ACIC,1401521,2025-11-10,0,18409.0,11.86,218330.74,1,0,0,Chief Operating Officer,D,0001777165-25-000005
ACIW,935036,2025-11-10,0,4210.0,47.69,200774.9,1,0,0,Chief Technology Officer,D,0002014812-25-000003
ACLS,1113232,2025-12-11,0,3034.0,89.46,271421.63999999996,1,0,0,"EVP, Research, Dev. & Eng.",D,0001979418-25-000004
ACLS,1113232,2025-12-17,0,2000.0,86.05,172100.0,0,1,0,,D,0001385162-25-000004
ACLX,1786205,2025-10-03,0,4882.0,86.0,419852.0,1,0,0,CHIEF FINANCIAL OFFICER,D,0001193125-25-232216
ACLX,1786205,2025-10-06,0,1064.0,86.22,91738.08,1,0,0,CHIEF FINANCIAL OFFICER,D,0001193125-25-232216
ACLX,1786205,2025-10-15,0,5364.0,91.04,488338.56000000006,1,0,0,CHIEF FINANCIAL OFFICER,D,0001193125-25-240536
ACLX,1786205,2025-11-17,0,340.0,90.0,30600.0,1,0,0,CHIEF MEDICAL OFFICER,D,0001193125-25-284944
ACM,868857,2025-12-15,0,6000.0,98.85,593100.0,1,0,0,CHIEF LEGAL OFFICER,D,0001805823-25-000005
ACM,868857,2025-12-17,0,9502.0,97.01,921789.02,1,0,0,CHIEF LEGAL OFFICER,D,0001805823-25-000005
ACM,868857,2025-12-17,0,193.0,98.35,18981.55,1,0,0,PRESIDENT,D,0001723099-25-000006
ACM,868857,2025-12-17,0,17340.0,97.01,1682153.4000000001,1,0,0,PRESIDENT,D,0001723099-25-000006
ACMR,1680062,2025-11-12,0,15000.0,32.76,491399.99999999994,1,0,0,See remarks,D,0001140361-25-042345
ACMR,1680062,2025-11-13,0,15000.0,33.77,506550.00000000006,1,0,0,See remarks,D,0001140361-25-042345
ACMR,1680062,2025-12-02,0,100000.0,33.2,3320000.0000000005,1,0,0,See remarks,D,0001140361-25-044360
ACMR,1680062,2025-12-03,0,68800.0,33.05,2273840.0,1,1,0,See Remarks,D,0001140361-25-044559
ACMR,1680062,2025-12-03,0,1200.0,33.56,40272.0,1,1,0,See Remarks,D,0001140361-25-044559
ACMR,1680062,2025-12-03,0,19700.0,33.05,651085.0,1,0,0,See remarks,D,0001140361-25-044360
ACMR,1680062,2025-12-03,0,300.0,33.57,10071.0,1,0,0,See remarks,D,0001140361-25-044360
ACMR,1680062,2025-12-04,0,7754.0,33.5,259759.0,1,0,0,See Remarks,D,0001140361-25-044909
ACMR,1680062,2025-12-04,0,996.0,34.26,34122.96,1,0,0,See Remarks,D,0001140361-25-044909
ACMR,1680062,2025-12-04,0,40183.0,34.42,1383098.86,1,1,0,See Remarks,D,0001140361-25-044559
ACMR,1680062,2025-12-04,0,19817.0,33.52,664265.8400000001,1,1,0,See Remarks,D,0001140361-25-044559
ACMR,1680062,2025-12-08,0,22500.0,35.45,797625.0000000001,1,0,0,See Remarks,D,0001140361-25-044909
ACN,1467373,2025-10-22,0,1484.0,249.57,370361.88,1,0,0,Co-CEO Asia Pacific,D,0002030833-25-000004
ACN,1467373,2025-10-22,0,494.0,248.37,122694.78,1,0,0,Co-CEO Asia Pacific,D,0002030833-25-000004
ACN,1467373,2025-10-22,0,522.0,250.23,130620.06,1,0,0,Co-CEO Asia Pacific,D,0002030833-25-000004
ACN,1467373,2025-10-22,0,87.0,250.87,21825.69,1,1,0,Chair and CEO,D,0001487630-25-000008
ACN,1467373,2025-10-22,0,3914.0,250.13,979008.82,1,1,0,Chair and CEO,D,0001487630-25-000008
ACN,1467373,2025-10-22,0,3781.0,249.41,943019.21,1,1,0,Chair and CEO,D,0001487630-25-000008
ACN,1467373,2025-10-22,0,1218.0,248.2,302307.6,1,1,0,Chair and CEO,D,0001487630-25-000008
ACN,1467373,2025-10-22,0,6902.0,250.01,1725569.02,1,0,0,Chief Strategy & Services Ofcr,D,0001911109-25-000006
ACN,1467373,2025-10-29,0,1761.0,254.84,448773.24,1,1,0,Chair and CEO,D,0001487630-25-000009
ACN,1467373,2025-10-29,0,2104.0,253.92,534247.6799999999,1,1,0,Chair and CEO,D,0001487630-25-000009
ACN,1467373,2025-10-29,0,3806.0,252.92,962613.5199999999,1,1,0,Chair and CEO,D,0001487630-25-000009
ACN,1467373,2025-10-29,0,1329.0,252.05,334974.45,1,1,0,Chair and CEO,D,0001487630-25-000009
ACN,1467373,2025-11-05,0,1079.0,247.23,266761.17,1,1,0,Chair and CEO,D,0001487630-25-000010
ACN,1467373,2025-11-05,0,165.0,248.83,41056.950000000004,1,1,0,Chair and CEO,D,0001487630-25-000010
ACN,1467373,2025-11-05,0,4656.0,246.42,1147331.52,1,1,0,Chair and CEO,D,0001487630-25-000010
ACN,1467373,2025-11-05,0,17.0,243.38,4137.46,1,1,0,Chair and CEO,D,0001487630-25-000010
ACNB,715579,2025-11-20,1,396.0,40.0,15840.0,0,1,0,,D,0001628280-25-053520
ACNB,715579,2025-12-11,0,5000.0,51.0,255000.0,0,1,0,,D,0001628280-25-056690
ACNB,715579,2025-12-15,0,2773.26,52.27,144958.30020000003,0,0,0,,D,0001628280-25-057561
ACNB,715579,2025-12-15,1,4.75,52.65,250.0875,0,1,0,,D,0001628280-25-057560
ACONW,1635077,2025-11-26,1,10.0,6.2,62.0,1,1,0,Chief Executive Officer,D,0001683168-25-008777
ACP-PA,1503290,2025-09-30,1,2200.0,5.79,12738.0,0,1,0,,D,0001104659-25-095989
ACR-PD,1332551,2025-09-30,0,2500.0,22.68,56700.0,0,0,0,,I,0001104659-25-096216
ACR-PD,1332551,2025-10-28,0,200.0,22.07,4414.0,0,0,0,,I,0001104659-25-104516
ACR-PD,1332551,2025-10-29,0,772.0,22.1,17061.2,0,0,0,,I,0001104659-25-104516
ACR-PD,1332551,2025-10-31,0,2089.0,25.19,52621.91,0,0,0,,I,0001104659-25-106500
ACR-PD,1332551,2025-11-04,0,352.0,22.17,7803.84,0,0,0,,I,0001104659-25-106500
ACR-PD,1332551,2025-11-05,0,138.0,25.15,3470.7,0,0,0,,I,0001104659-25-108640
ACR-PD,1332551,2025-11-05,0,3499.0,22.19,77642.81,0,0,0,,I,0001104659-25-108640
ACR-PD,1332551,2025-11-06,0,200.0,25.15,5030.0,0,0,0,,I,0001104659-25-108640
ACR-PD,1332551,2025-11-07,0,140.0,25.15,3521.0,0,0,0,,I,0001104659-25-108640
ACR-PD,1332551,2025-11-11,0,1161.0,22.2,25774.2,0,0,0,,I,0001104659-25-111621
ACR-PD,1332551,2025-11-12,0,529.0,25.15,13304.349999999999,0,0,0,,I,0001104659-25-111621
ACR-PD,1332551,2025-11-12,0,2064.0,22.2,45820.799999999996,0,0,0,,I,0001104659-25-111621
ACR-PD,1332551,2025-11-13,0,733.0,25.15,18434.95,0,0,0,,I,0001104659-25-111621
ACR-PD,1332551,2025-11-17,0,718.0,25.17,18072.06,0,0,0,,I,0001104659-25-114219
ACR-PD,1332551,2025-11-24,0,723.0,25.19,18212.370000000003,0,0,0,,I,0001104659-25-116513
ACR-PD,1332551,2025-11-28,0,913.0,25.19,22998.47,0,0,0,,I,0001104659-25-117837
ACR-PD,1332551,2025-12-01,0,5054.0,25.2,127360.8,0,0,0,,I,0001104659-25-117837
ACR-PD,1332551,2025-12-04,0,48.0,25.22,1210.56,0,0,0,,I,0001104659-25-119408
ACR-PD,1332551,2025-12-05,0,99.0,25.22,2496.7799999999997,0,0,0,,I,0001104659-25-119408
ACR-PD,1332551,2025-12-10,0,98.0,25.24,2473.52,0,0,0,,I,0001104659-25-120745
ACR-PD,1332551,2025-12-11,0,653.0,25.26,16494.780000000002,0,0,0,,I,0001104659-25-120745
ACR-PD,1332551,2025-12-11,0,605.0,22.26,13467.300000000001,0,0,0,,I,0001104659-25-120745
ACR-PD,1332551,2025-12-12,0,114.0,22.26,2537.6400000000003,0,0,0,,I,0001104659-25-120745
ACR-PD,1332551,2025-12-15,0,1372.0,22.26,30540.72,0,0,0,,I,0001104659-25-122155
ACR-PD,1332551,2025-12-23,0,499.0,22.26,11107.740000000002,0,0,0,,I,0001104659-25-124848
ACR-PD,1332551,2025-12-24,0,455.0,22.3,10146.5,0,0,0,,I,0001104659-25-124848
ACT,1823529,2025-09-30,0,922169.0,38.35,35365181.15,0,0,0,,D,0001572983-25-000008
ACT,1823529,2025-10-31,0,940819.0,36.19,34048239.61,0,0,0,,D,0001572983-25-000010
ACT,1823529,2025-11-18,0,2562.0,37.41,95844.42,0,1,0,,D,0001823529-25-000230
ACT,1823529,2025-11-19,0,7438.0,37.39,278106.82,0,1,0,,D,0001823529-25-000230
ACT,1823529,2025-11-28,0,878006.0,37.36,32802304.16,0,0,0,,D,0001572983-25-000015
ACVA,1637873,2025-10-15,0,1750.0,8.84,15470.0,1,0,0,"VP, Corporate Controller & CAO",D,0002030941-25-000008
ACVA,1637873,2025-11-10,1,912408.0,5.61,5118608.88,0,1,0,,I,0001193125-25-278383
ACVA,1637873,2025-11-14,1,15000.0,6.26,93900.0,0,1,0,,D,0001808806-25-000003
ACVA,1637873,2025-11-14,1,80571.0,6.21,500345.91,0,1,0,,D,0001851605-25-000003
ACVA,1637873,2025-11-17,1,5000.0,6.27,31349.999999999996,0,1,0,,D,0001808806-25-000003
ACVA,1637873,2025-12-01,0,1750.0,8.0,14000.0,1,0,0,"VP, Corporate Controller & CAO",D,0002030941-25-000010
ACVA,1637873,2025-12-15,1,31172.0,7.97,248440.84,1,1,0,Chief Executive Officer,D,0001419488-25-000005
ACVA,1637873,2025-12-15,0,1750.0,8.03,14052.499999999998,1,0,0,"VP, Corporate Controller & CAO",D,0002030941-25-000012
